Name,Artists,Danceability,Energy,Speechiness,Valence,Duration_ms,Rank
God's Plan,Drake,0.754,0.449,0.109,0.357,198973,1
SAD!,XXXTENTACION,0.74,0.613,0.145,0.473,166606,2
rockstar (feat. 21 Savage),Post Malone,0.587,0.535,0.0898,0.14,218147,3
Psycho (feat. Ty Dolla $ign),Post Malone,0.739,0.559,0.117,0.439,221440,4
In My Feelings,Drake,0.835,0.626,0.125,0.35,217925,5
Better Now,Post Malone,0.68,0.563,0.0454,0.374,231267,6
I Like It,Cardi B,0.816,0.726,0.129,0.65,253390,7
One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,0.11,0.592,214847,8
IDGAF,Dua Lipa,0.836,0.544,0.0943,0.51,217947,9
FRIENDS,Marshmello,0.626,0.88,0.0504,0.534,202621,10
Havana,Camila Cabello,0.765,0.523,0.03,0.394,217307,11
Lucid Dreams,Juice WRLD,0.511,0.566,0.2,0.218,239836,12
Nice For What,Drake,0.586,0.909,0.0705,0.757,210747,13
Girls Like You (feat. Cardi B),Maroon 5,0.851,0.541,0.0505,0.448,235545,14
The Middle,Zedd,0.753,0.657,0.0449,0.437,184732,15
All The Stars (with SZA),Kendrick Lamar,0.698,0.633,0.0597,0.552,232187,16
no tears left to cry,Ariana Grande,0.699,0.713,0.0594,0.354,205920,17
X,Nicky Jam,0.595,0.773,0.0549,0.711,173628,18
Moonlight,XXXTENTACION,0.921,0.537,0.0804,0.711,135090,19
Look Alive (feat. Drake),BlocBoy JB,0.922,0.581,0.27,0.595,181263,20
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.653,0.809,0.0474,0.55,210773,21
Te Bot? - Remix,Nio Garcia,0.903,0.675,0.214,0.442,417920,22
Mine,Bazzi,0.71,0.789,0.0722,0.717,131064,23
Youngblood,5 Seconds of Summer,0.596,0.854,0.463,0.152,203418,24
New Rules,Dua Lipa,0.762,0.7,0.0694,0.608,209320,25
Shape of You,Ed Sheeran,0.825,0.652,0.0802,0.931,233713,26
Love Lies (with Normani),Khalid,0.708,0.648,0.0449,0.338,201707,27
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.642,0.772,0.0848,0.589,164205,28
Jocelyn Flores,XXXTENTACION,0.872,0.391,0.242,0.437,119133,29
Perfect,Ed Sheeran,0.599,0.448,0.0232,0.168,263400,30
Taste (feat. Offset),Tyga,0.884,0.559,0.12,0.342,232959,31
Solo (feat. Demi Lovato),Clean Bandit,0.737,0.636,0.0437,0.565,222653,32
I Fall Apart,Post Malone,0.556,0.538,0.0382,0.291,223347,33
Nevermind,Dennis Lloyd,0.592,0.691,0.196,0.0796,156600,34
?chame La Culpa,Luis Fonsi,0.726,0.889,0.0429,0.649,173720,35
Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,0.321,0.319,173800,36
Never Be the Same,Camila Cabello,0.637,0.713,0.0747,0.243,226973,37
Wolves,Selena Gomez,0.72,0.807,0.0432,0.305,197993,38
changes,XXXTENTACION,0.669,0.308,0.029,0.52,121887,39
In My Mind,Dynoro,0.694,0.77,0.149,0.163,184560,40
River (feat. Ed Sheeran),Eminem,0.748,0.749,0.516,0.659,221013,41
Dura,Daddy Yankee,0.791,0.848,0.0506,0.828,200480,42
SICKO MODE,Travis Scott,0.834,0.73,0.222,0.446,312820,43
