school_id,school_name,zone,level
1,ADMIRALTY PRIMARY SCHOOL,NORTH,PRIMARY
2,ADMIRALTY SECONDARY SCHOOL,NORTH,SECONDARY
3,AHMAD IBRAHIM PRIMARY SCHOOL,NORTH,PRIMARY
4,AHMAD IBRAHIM SECONDARY SCHOOL,NORTH,SECONDARY
5,AI TONG SCHOOL,SOUTH,PRIMARY
6,ALEXANDRA PRIMARY SCHOOL,SOUTH,PRIMARY
7,ANCHOR GREEN PRIMARY SCHOOL,NORTH,PRIMARY
8,ANDERSON PRIMARY SCHOOL,NORTH,PRIMARY
9,ANDERSON SECONDARY SCHOOL,NORTH,SECONDARY
10,ANDERSON SERANGOON JUNIOR COLLEGE,NORTH,JUNIOR COLLEGE
11,ANG MO KIO PRIMARY SCHOOL,SOUTH,PRIMARY
12,ANG MO KIO SECONDARY SCHOOL,SOUTH,SECONDARY
13,ANGLICAN HIGH SCHOOL,EAST,SECONDARY
14,ANGLO-CHINESE JUNIOR COLLEGE,WEST,JUNIOR COLLEGE
15,ANGLO-CHINESE SCHOOL (BARKER ROAD),SOUTH,SECONDARY
16,ANGLO-CHINESE SCHOOL (JUNIOR),SOUTH,PRIMARY
17,ANGLO-CHINESE SCHOOL (PRIMARY),SOUTH,PRIMARY
18,ANGSANA PRIMARY SCHOOL,EAST,PRIMARY
19,ASSUMPTION ENGLISH SCHOOL,WEST,SECONDARY
20,ASSUMPTION PATHWAY SCHOOL,WEST,SECONDARY
21,BARTLEY SECONDARY SCHOOL,SOUTH,SECONDARY
22,BEACON PRIMARY SCHOOL,WEST,PRIMARY
23,BEATTY SECONDARY SCHOOL,SOUTH,SECONDARY
24,BEDOK GREEN PRIMARY SCHOOL,EAST,PRIMARY
25,BEDOK GREEN SECONDARY SCHOOL,EAST,SECONDARY
26,BEDOK SOUTH SECONDARY SCHOOL,EAST,SECONDARY
27,BEDOK VIEW SECONDARY SCHOOL,EAST,SECONDARY
28,BENDEMEER PRIMARY SCHOOL,SOUTH,PRIMARY
29,BENDEMEER SECONDARY SCHOOL,SOUTH,SECONDARY
30,BLANGAH RISE PRIMARY SCHOOL,SOUTH,PRIMARY
31,BOON LAY GARDEN PRIMARY SCHOOL,WEST,PRIMARY
32,BOON LAY SECONDARY SCHOOL,WEST,SECONDARY
33,BOWEN SECONDARY SCHOOL,NORTH,SECONDARY
34,BROADRICK SECONDARY SCHOOL,EAST,SECONDARY
35,BUKIT BATOK SECONDARY SCHOOL,WEST,SECONDARY
36,BUKIT MERAH SECONDARY SCHOOL,SOUTH,SECONDARY
