school_id,school_name,subject_desc
1,ADMIRALTY PRIMARY SCHOOL,ART
1,ADMIRALTY PRIMARY SCHOOL,CHINESE
1,ADMIRALTY PRIMARY SCHOOL,ENGLISH LANGUAGE
1,ADMIRALTY PRIMARY SCHOOL,FOUNDATION CHINESE
1,ADMIRALTY PRIMARY SCHOOL,HIGHER CHINESE
1,ADMIRALTY PRIMARY SCHOOL,HIGHER MALAY
1,ADMIRALTY PRIMARY SCHOOL,HIGHER TAMIL
1,ADMIRALTY PRIMARY SCHOOL,MALAY
1,ADMIRALTY PRIMARY SCHOOL,MATHEMATICS
1,ADMIRALTY PRIMARY SCHOOL,MUSIC
1,ADMIRALTY PRIMARY SCHOOL,PHYSICAL EDUCATION
1,ADMIRALTY PRIMARY SCHOOL,SCIENCE
1,ADMIRALTY PRIMARY SCHOOL,SOCIAL STUDIES
1,ADMIRALTY PRIMARY SCHOOL,TAMIL
2,ADMIRALTY SECONDARY SCHOOL,ART
2,ADMIRALTY SECONDARY SCHOOL,DESIGN & TECHNOLOGY
2,ADMIRALTY SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION
2,ADMIRALTY SECONDARY SCHOOL,MUSIC
2,ADMIRALTY SECONDARY SCHOOL,PHYSICAL EDUCATION
3,AHMAD IBRAHIM PRIMARY SCHOOL,ART
3,AHMAD IBRAHIM PRIMARY SCHOOL,CHINESE
3,AHMAD IBRAHIM PRIMARY SCHOOL,ENGLISH LANGUAGE
3,AHMAD IBRAHIM PRIMARY SCHOOL,FOUNDATION CHINESE
3,AHMAD IBRAHIM PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
3,AHMAD IBRAHIM PRIMARY SCHOOL,FOUNDATION MALAY
3,AHMAD IBRAHIM PRIMARY SCHOOL,FOUNDATION TAMIL
3,AHMAD IBRAHIM PRIMARY SCHOOL,HIGHER CHINESE
3,AHMAD IBRAHIM PRIMARY SCHOOL,HIGHER MALAY
3,AHMAD IBRAHIM PRIMARY SCHOOL,HIGHER TAMIL
3,AHMAD IBRAHIM PRIMARY SCHOOL,MALAY
3,AHMAD IBRAHIM PRIMARY SCHOOL,MATHEMATICS
3,AHMAD IBRAHIM PRIMARY SCHOOL,MUSIC
3,AHMAD IBRAHIM PRIMARY SCHOOL,PHYSICAL EDUCATION
3,AHMAD IBRAHIM PRIMARY SCHOOL,SCIENCE
3,AHMAD IBRAHIM PRIMARY SCHOOL,SOCIAL STUDIES
3,AHMAD IBRAHIM PRIMARY SCHOOL,TAMIL
5,AI TONG SCHOOL,ART
5,AI TONG SCHOOL,CHINESE
5,AI TONG SCHOOL,ENGLISH LANGUAGE
5,AI TONG SCHOOL,FOUNDATION CHINESE
5,AI TONG SCHOOL,FOUNDATION ENGLISH LANGUAGE
5,AI TONG SCHOOL,HIGHER CHINESE
5,AI TONG SCHOOL,MATHEMATICS
5,AI TONG SCHOOL,MUSIC
5,AI TONG SCHOOL,PHYSICAL EDUCATION
5,AI TONG SCHOOL,SCIENCE
5,AI TONG SCHOOL,SOCIAL STUDIES
6,ALEXANDRA PRIMARY SCHOOL,ART
6,ALEXANDRA PRIMARY SCHOOL,CHINESE
6,ALEXANDRA PRIMARY SCHOOL,ENGLISH LANGUAGE
6,ALEXANDRA PRIMARY SCHOOL,FOUNDATION CHINESE
6,ALEXANDRA PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
6,ALEXANDRA PRIMARY SCHOOL,FOUNDATION MALAY
6,ALEXANDRA PRIMARY SCHOOL,FOUNDATION TAMIL
6,ALEXANDRA PRIMARY SCHOOL,HIGHER CHINESE
6,ALEXANDRA PRIMARY SCHOOL,HIGHER MALAY
6,ALEXANDRA PRIMARY SCHOOL,HIGHER TAMIL
6,ALEXANDRA PRIMARY SCHOOL,MALAY
6,ALEXANDRA PRIMARY SCHOOL,MATHEMATICS
